source_file,line_number,broken_link,link_type,link_text,relative_path,new_link,status,reason
.\docs\deployment\README.md,0,./security/README.md,markdown,Security,docs\deployment\README.md,security/README.md,fixed,
.\docs\deployment\README.md,0,./environment.md,markdown,Environment Configuration,docs\deployment\README.md,temp_reorg/docs/deployment/environment.md,fixed,
.\docs\deployment\README.md,0,./troubleshooting.md,markdown,Troubleshooting Guide,docs\deployment\README.md,temp_reorg/docs/robotics/troubleshooting.md,fixed,
.\docs\machine_learning\multimodal\unified_recognition_guide.md,0,../vision_recognition/vision_recognition_guide.md,markdown,Vision Recognition Guide,docs\machine_learning\multimodal\unified_recognition_guide.md,temp_reorg/docs/machine_learning/vision_recognition/vision_recognition_guide.md,fixed,
.\docs\machine_learning\multimodal\unified_recognition_guide.md,0,../training/training_guide.md,markdown,Custom Model Training,docs\machine_learning\multimodal\unified_recognition_guide.md,temp_reorg/docs/machine_learning/training/training_guide.md,fixed,
.\docs\machine_learning\workflow\evaluate_performance.md,0,deployment.md,markdown,Deployment,docs\machine_learning\workflow\evaluate_performance.md,temp_reorg/docs/machine_learning/workflow/deployment.md,fixed,
.\docs\machine_learning\workflow\hyperparameter_tuning.md,0,deployment.md,markdown,Deployment,docs\machine_learning\workflow\hyperparameter_tuning.md,temp_reorg/docs/machine_learning/workflow/deployment.md,fixed,
.\docs\robotics\README.md,0,safety_ethics.md,markdown,Safety and Ethics,docs\robotics\README.md,temp_reorg/docs/robotics/safety_ethics.md,fixed,
.\docs\robotics\README.md,0,integration.md,markdown,Integration and APIs,docs\robotics\README.md,temp_reorg/docs/robotics/integration.md,fixed,
.\docs\robotics\README.md,0,development.md,markdown,Development and Testing,docs\robotics\README.md,temp_reorg/docs/robotics/development.md,fixed,
.\docs\robotics\README.md,0,development.md,markdown,development guide,docs\robotics\README.md,temp_reorg/docs/robotics/development.md,fixed,
.\docs\robotics\README.md,0,troubleshooting.md,markdown,Troubleshooting Guide,docs\robotics\README.md,temp_reorg/docs/robotics/troubleshooting.md,fixed,
.\docs\robotics\README.md,0,faq.md,markdown,FAQ,docs\robotics\README.md,temp_reorg/docs/robotics/faq.md,fixed,
.\docs\robotics\advanced_system\advanced_abilities.md,0,../ai_system_enhancements.md,markdown,AI System Enhancements,docs\robotics\advanced_system\advanced_abilities.md,temp_reorg/docs/robotics/ai_system_enhancements.md,fixed,
.\docs\robotics\advanced_system\architecture.md,0,../development.md,markdown,development environment,docs\robotics\advanced_system\architecture.md,temp_reorg/docs/robotics/development.md,fixed,
.\docs\robotics\advanced_system\cad_and_manufacturing.md,0,../ai_system_enhancements.md,markdown,AI System Enhancements,docs\robotics\advanced_system\cad_and_manufacturing.md,temp_reorg/docs/robotics/ai_system_enhancements.md,fixed,
.\docs\robotics\advanced_system\human_robot_interaction.md,0,./testing/README.md,markdown,Testing & Validation,docs\robotics\advanced_system\human_robot_interaction.md,testing/README.md,fixed,
.\docs\robotics\advanced_system\multisensory_robotics.md,0,../../hardware/sensors.md,markdown,Sensor Integration,docs\robotics\advanced_system\multisensory_robotics.md,temp_reorg/docs/iot/sensors.md,fixed,
.\docs\robotics\advanced_system\multisensory_robotics.md,0,../../ai/guides/robotics_ai_algorithms.md,markdown,AI Algorithms,docs\robotics\advanced_system\multisensory_robotics.md,temp_reorg/docs/ai/guides/robotics_ai_algorithms.md,fixed,
.\docs\robotics\advanced_system\multisensory_robotics.md,0,../../ai/guides/robotics_movement.md,markdown,Movement Algorithms,docs\robotics\advanced_system\multisensory_robotics.md,temp_reorg/docs/ai/guides/robotics_movement.md,fixed,
.\docs\robotics\advanced_system\multisensory_robotics.md,0,../../ai/audio/README.md,markdown,Speech & Audio,docs\robotics\advanced_system\multisensory_robotics.md,docs/ai/audio/README.md,fixed,
.\docs\robotics\advanced_system\sanskrit_style_reorganization.md,0,./advanced_system.md,markdown,Advanced System Documentation,docs\robotics\advanced_system\sanskrit_style_reorganization.md,temp_reorg/docs/robotics/advanced_system/advanced_system.md,fixed,
.\docs\robotics\advanced_system\self_powering_and_regeneration.md,0,../ai_system_enhancements.md,markdown,AI System Enhancements,docs\robotics\advanced_system\self_powering_and_regeneration.md,temp_reorg/docs/robotics/ai_system_enhancements.md,fixed,
.\docs\robotics\advanced_system\speculative_abilities.md,0,../../../../ai/multidisciplinary/philosophy.md,markdown,Ethics & Social Impact,docs\robotics\advanced_system\speculative_abilities.md,temp_reorg/docs/ai/multidisciplinary/philosophy.md,fixed,
.\docs\robotics\advanced_system\speculative_abilities.md,0,./testing/README.md,markdown,Testing & Validation,docs\robotics\advanced_system\speculative_abilities.md,testing/README.md,fixed,
.\docs\robotics\advanced_system\swarm_robotics.md,0,./testing/README.md,markdown,Testing & Validation,docs\robotics\advanced_system\swarm_robotics.md,testing/README.md,fixed,
.\docs\robotics\advanced_system\theoretical_abilities.md,0,../ai_system_enhancements.md,markdown,AI System Enhancements,docs\robotics\advanced_system\theoretical_abilities.md,temp_reorg/docs/robotics/ai_system_enhancements.md,fixed,
.\docs\robotics\advanced_system\ui_ux.md,0,../human_robot_interaction.md,markdown,Human-Robot Interaction,docs\robotics\advanced_system\ui_ux.md,temp_reorg/docs/robotics/advanced_system/human_robot_interaction.md,fixed,
.\docs\robotics\advanced_system\ui_ux.md,0,../testing.md,markdown,Testing & Validation,docs\robotics\advanced_system\ui_ux.md,temp_reorg/docs/robotics/advanced_system/testing.md,fixed,
.\docs\web\apis\rest_api.md,0,../security/authentication.md,markdown,../security/authentication.md,docs\web\apis\rest_api.md,temp_reorg/docs/web/security/authentication.md,fixed,
.\docs\web\apis\rest_api.md,0,api_gateway.md,markdown,API Gateways,docs\web\apis\rest_api.md,temp_reorg/docs/web/system_design/api_gateway.md,fixed,
.\docs\web\apis\rest_api.md,0,../security/authentication.md,markdown,Authentication,docs\web\apis\rest_api.md,temp_reorg/docs/web/security/authentication.md,fixed,
.\docs\web\databases\database_overview.md,0,../performance/denormalization.md,markdown,../performance/denormalization.md,docs\web\databases\database_overview.md,temp_reorg/docs/web/system_design/denormalization.md,fixed,
.\docs\web\networking\dns.md,0,proxy.md,markdown,Proxy,docs\web\networking\dns.md,temp_reorg/docs/web/system_design/proxy.md,fixed,
.\docs\web\networking\http.md,0,proxy.md,markdown,Proxy,docs\web\networking\http.md,temp_reorg/docs/web/system_design/proxy.md,fixed,
.\docs\web\networking\ip_address.md,0,proxy.md,markdown,Proxy,docs\web\networking\ip_address.md,temp_reorg/docs/web/system_design/proxy.md,fixed,
.\docs\web\system_design\blob_storage.md,0,../security/security.md,markdown,Security,docs\web\system_design\blob_storage.md,temp_reorg/docs/web/security/security.md,fixed,
.\docs\web\system_design\cache.md,0,../performance/denormalization.md,markdown,Performance Optimization,docs\web\system_design\cache.md,temp_reorg/docs/web/system_design/denormalization.md,fixed,
.\docs\web\system_design\cache.md,0,../security/security.md,markdown,Security,docs\web\system_design\cache.md,temp_reorg/docs/web/security/security.md,fixed,
.\docs\web\system_design\cdn.md,0,../performance/denormalization.md,markdown,Performance Optimization,docs\web\system_design\cdn.md,temp_reorg/docs/web/system_design/denormalization.md,fixed,
.\docs\web\system_design\cdn.md,0,../security/security.md,markdown,Security,docs\web\system_design\cdn.md,temp_reorg/docs/web/security/security.md,fixed,
.\docs\web\system_design\rate_limiting.md,0,../security/security.md,markdown,Security,docs\web\system_design\rate_limiting.md,temp_reorg/docs/web/security/security.md,fixed,
.\meta\linking_standards.md,0,../docs/workflow/preprocessing.md,markdown,Data Preprocessing,meta\linking_standards.md,../temp_reorg/docs/machine_learning/workflow/preprocessing.md,fixed,
.\meta\linking_standards.md,0,../docs/workflow/hyperparameter_tuning.md#optimization-techniques,markdown,hyperparameter optimization techniques,meta\linking_standards.md,../temp_reorg/docs/machine_learning/workflow/hyperparameter_tuning.md,fixed,
.\meta\linking_standards.md,0,../docs/workflow/evaluate_performance.md,markdown,Model Evaluation,meta\linking_standards.md,../temp_reorg/docs/machine_learning/workflow/evaluate_performance.md,fixed,
.\meta\linking_standards.md,0,../docs/workflow/deployment.md,markdown,Deployment Strategies,meta\linking_standards.md,../temp_reorg/docs/machine_learning/workflow/deployment.md,fixed,
.\meta\linking_standards.md,0,preprocessing.md,markdown,Data Preprocessing,meta\linking_standards.md,../temp_reorg/docs/machine_learning/workflow/preprocessing.md,fixed,
.\meta\linking_standards.md,0,evaluate_performance.md,markdown,Model Evaluation,meta\linking_standards.md,../temp_reorg/docs/machine_learning/workflow/evaluate_performance.md,fixed,
.\meta\linking_standards.md,0,hyperparameter_tuning.md,markdown,Hyperparameter Tuning,meta\linking_standards.md,../temp_reorg/docs/machine_learning/workflow/hyperparameter_tuning.md,fixed,
.\meta\linking_standards.md,0,preprocessing.md,markdown,preprocessed data,meta\linking_standards.md,../temp_reorg/docs/machine_learning/workflow/preprocessing.md,fixed,
.\meta\linking_standards.md,0,evaluate_performance.md,markdown,model evaluation,meta\linking_standards.md,../temp_reorg/docs/machine_learning/workflow/evaluate_performance.md,fixed,
.\meta\linking_standards.md,0,hyperparameter_tuning.md,markdown,tune hyperparameters,meta\linking_standards.md,../temp_reorg/docs/machine_learning/workflow/hyperparameter_tuning.md,fixed,
.\method.md,0,/tutorials,absolute,Tutorials,method.md,,,Target not found
.\method.md,0,/src,absolute,Source Code,method.md,,,Target not found
.\method.md,0,/tests,absolute,Tests,method.md,,,Target not found
.\README.md,0,docs/machine_learning/data_acquisition.md,markdown,Data Acquisition,README.md,,,No changes made
.\SECURITY.md,0,mailto:security@example.com,mailto,security@example.com,SECURITY.md,,,Target not found
.\SECURITY.md,0,mailto:security@example.com,mailto,security@example.com,SECURITY.md,,,Target not found
.\SUPPORT.md,0,mailto:support@example.com,mailto,support@example.com,SUPPORT.md,,,Target not found
.\docs\ai\README.md,0,./tools/benchmarking/,relative,Benchmarking Tools,docs\ai\README.md,,,Target not found
.\docs\ai\README.md,0,../CONTRIBUTING.md,markdown,Contribution Guidelines,docs\ai\README.md,,,No changes made
.\docs\ai\README.md,0,../LICENSE,relative,LICENSE,docs\ai\README.md,,,Target not found
.\docs\ai\README.md,0,mailto:support@quantum-ai.org,mailto,support@quantum-ai.org,docs\ai\README.md,,,Target not found
.\docs\ai\system_improvement_strategies.md,0,../README.md,markdown,AI Knowledge Base,docs\ai\system_improvement_strategies.md,,,No changes made
.\docs\ai\audio\audio_module_architecture.md,0,LICENSE,relative,LICENSE,docs\ai\audio\audio_module_architecture.md,,,Target not found
.\docs\ai\emotional_intelligence\README.md,0,../../examples/emotional_intelligence/,relative,examples directory,docs\ai\emotional_intelligence\README.md,,,Target not found
.\docs\ai\emotional_intelligence\README.md,0,CONTRIBUTING.md,markdown,Contributing Guidelines,docs\ai\emotional_intelligence\README.md,,,No changes made
.\docs\ai\emotional_intelligence\README.md,0,LICENSE,relative,LICENSE,docs\ai\emotional_intelligence\README.md,,,Target not found
.\docs\ai\multidisciplinary\README.md,0,../../examples/multidisciplinary/,relative,examples,docs\ai\multidisciplinary\README.md,,,Target not found
.\docs\app\README.md,0,../README.md,markdown,Knowledge Base Documentation,docs\app\README.md,,,No changes made
.\docs\concepts\README.md,0,../README.md,markdown,Knowledge Base Documentation,docs\concepts\README.md,,,No changes made
.\docs\deployment\README.md,0,../CONTRIBUTING.md,markdown,CONTRIBUTING.md,docs\deployment\README.md,,,No changes made
.\docs\deployment\README.md,0,../LICENSE,relative,LICENSE,docs\deployment\README.md,,,Target not found
.\docs\desktop\README.md,0,../README.md,markdown,Knowledge Base Documentation,docs\desktop\README.md,,,No changes made
.\docs\robotics\README.md,0,perception/README.md,markdown,Perception Systems,docs\robotics\README.md,,,No changes made
.\docs\robotics\README.md,0,movement/README.md,markdown,Movement and Mobility,docs\robotics\README.md,,,No changes made
.\docs\robotics\README.md,0,ai/README.md,markdown,AI and Machine Learning,docs\robotics\README.md,,,No changes made
.\docs\robotics\README.md,0,specs/,relative,Component Specifications,docs\robotics\README.md,,,Target not found
.\docs\robotics\README.md,0,api/,relative,API Reference,docs\robotics\README.md,,,Target not found
.\docs\robotics\README.md,0,CONTRIBUTING.md,markdown,contribution guidelines,docs\robotics\README.md,,,No changes made
.\docs\robotics\advanced_system\architecture.md,0,../examples/README.md,markdown,sample applications,docs\robotics\advanced_system\architecture.md,,,No changes made
.\docs\robotics\advanced_system\README.md,0,networking/README.md,markdown,Networking & Security,docs\robotics\advanced_system\README.md,,,No changes made
.\docs\robotics\advanced_system\README.md,0,ai/README.md,markdown,AI & Machine Learning,docs\robotics\advanced_system\README.md,,,No changes made
.\docs\robotics\advanced_system\README.md,0,safety_ethics/README.md,markdown,Safety & Ethics,docs\robotics\advanced_system\README.md,,,No changes made
.\docs\robotics\advanced_system\README.md,0,deployment/README.md,markdown,Deployment & Maintenance,docs\robotics\advanced_system\README.md,,,No changes made
.\docs\robotics\advanced_system\README.md,0,deployment/README.md,markdown,deployment guide,docs\robotics\advanced_system\README.md,,,No changes made
.\docs\robotics\advanced_system\README.md,0,TROUBLESHOOTING.md,markdown,troubleshooting,docs\robotics\advanced_system\README.md,,,No changes made
.\docs\robotics\advanced_system\ui_ux.md,0,../control/README.md,markdown,Control Systems,docs\robotics\advanced_system\ui_ux.md,,,No changes made
.\docs\robotics\advanced_system\control\README.md,0,../testing/README.md,markdown,Testing & Validation,docs\robotics\advanced_system\control\README.md,,,No changes made
.\examples\emotional_intelligence\README.md,0,../docs/ai/emotional_intelligence/ARCHITECTURE.md,markdown,Emotional Intelligence Architecture,examples\emotional_intelligence\README.md,,,Target not found
.\examples\emotional_intelligence\README.md,0,../docs/ai/emotional_intelligence/EMOTION_REGULATION.md,markdown,Emotion Regulation,examples\emotional_intelligence\README.md,,,Target not found
.\examples\emotional_intelligence\README.md,0,../docs/ai/emotional_intelligence/EMPATHY_AND_SOCIAL_AWARENESS.md,markdown,Empathy and Social Awareness,examples\emotional_intelligence\README.md,,,Target not found
.\maintenance\scheduled_reviews.md,0,../templates/review_template.md,markdown,Content Review Form,maintenance\scheduled_reviews.md,,,Target not found
.\maintenance\scheduled_reviews.md,0,../anthropic/templates/constitutional_assessment_template.md,markdown,Constitutional Assessment Matrix,maintenance\scheduled_reviews.md,,,Target not found
.\maintenance\scheduled_reviews.md,0,../templates/technical_review_template.md,markdown,Technical Accuracy Checklist,maintenance\scheduled_reviews.md,,,Target not found
.\mcp\integration_guide.md,0,../scripts/vector_db_setup.md,markdown,Vector Database Setup,mcp\integration_guide.md,,,Target not found
.\mcp\integration_guide.md,0,api/knowledge_api.md,markdown,Knowledge API Documentation,mcp\integration_guide.md,,,Target not found
.\mcp\config\README.md,0,../api/README.md,markdown,API Documentation,mcp\config\README.md,,,Target not found
.\mcp\config\README.md,0,../vectorization/README.md,markdown,Vectorization Protocols,mcp\config\README.md,,,Target not found
.\meta\linking_standards.md,0,../docs/concepts/transfer_learning.md,markdown,transfer learning,meta\linking_standards.md,,,Target not found
.\meta\linking_standards.md,0,../other_directory/document.md,markdown,Document,meta\linking_standards.md,,,Target not found
.\meta\linking_standards.md,0,/path/from/root/other_directory/document.md,markdown,Document,meta\linking_standards.md,,,Target not found
.\meta\linking_standards.md,0,path/to/document.md,markdown,Document Name,meta\linking_standards.md,,,Target not found
.\meta\linking_standards.md,0,model_selection.md,markdown,model selection criteria,meta\linking_standards.md,,,Target not found
.\meta\linking_standards.md,0,../concepts/transfer_learning.md,markdown,transfer learning,meta\linking_standards.md,,,Target not found
.\meta\linking_standards.md,0,../concepts/regularization.md#early-stopping,markdown,early stopping,meta\linking_standards.md,,,Target not found
.\meta\linking_standards.md,0,preprocessing.md,markdown,Data Preprocessing,meta\linking_standards.md,,,No changes made
.\meta\linking_standards.md,0,evaluate_performance.md,markdown,Model Evaluation,meta\linking_standards.md,,,No changes made
.\meta\linking_standards.md,0,hyperparameter_tuning.md,markdown,Hyperparameter Tuning,meta\linking_standards.md,,,No changes made
.\process\contribution_guide.md,0,URL,relative,Link Text,process\contribution_guide.md,,,Target not found
.\src\audio\README.md,0,LICENSE,relative,LICENSE,src\audio\README.md,,,Target not found
.\templates\document_template.md,0,path/to/document.md,markdown,Internal Reference 1,templates\document_template.md,,,Target not found
.\templates\document_template.md,0,path/to/document.md,markdown,Internal Reference 2,templates\document_template.md,,,Target not found
.\templates\model_template.md,0,path/to/related_model.md,markdown,Related Model,templates\model_template.md,,,Target not found
.\templates\workflow_template.md,0,previous_step.md,markdown,Previous Step,templates\workflow_template.md,,,Target not found
.\templates\workflow_template.md,0,next_step.md,markdown,Next Step,templates\workflow_template.md,,,Target not found
.\templates\workflow_template.md,0,path/to/document.md,markdown,Related Internal Document,templates\workflow_template.md,,,Target not found
.\templates\workflow_template.md,0,path/to/concept.md,markdown,ML Concept,templates\workflow_template.md,,,Target not found
