"SourceFile","SourceFileName","BrokenLink","LinkText","RelativePath"
"F:\github\knowledge-base\docs\ai\multidisciplinary\README.md","README.md","./sociology/README.md","Sociology Module","docs\ai\multidisciplinary\README.md"
"F:\github\knowledge-base\docs\ai\multidisciplinary\README.md","README.md","./biology/README.md","Biology Module","docs\ai\multidisciplinary\README.md"
"F:\github\knowledge-base\docs\ai\multidisciplinary\README.md","README.md","./cosmology/README.md","Cosmology Module","docs\ai\multidisciplinary\README.md"
"F:\github\knowledge-base\docs\ai\multidisciplinary\README.md","README.md","../../examples/multidisciplinary/","examples","docs\ai\multidisciplinary\README.md"
"F:\github\knowledge-base\docs\ai\multidisciplinary\README.md","README.md","../../CONTRIBUTING.md","contributing guidelines","docs\ai\multidisciplinary\README.md"
"F:\github\knowledge-base\docs\ai\multidisciplinary\sociology.md","sociology.md","../../../../src/multidisciplinary_ai/sociology.py","src/multidisciplinary_ai/sociology.py","docs\ai\multidisciplinary\sociology.md"
"F:\github\knowledge-base\docs\ai\multidisciplinary\sociology.md","sociology.md","../ai/guides/multimodal_integration.md","Social AI Guide","docs\ai\multidisciplinary\sociology.md"
"F:\github\knowledge-base\docs\ai\vision\multi_category_object_recognition.md","multi_category_object_recognition.md","../../audio/audio_recognition.md","Audio Recognition System","docs\ai\vision\multi_category_object_recognition.md"
"F:\github\knowledge-base\docs\ai\vision\multi_category_object_recognition.md","multi_category_object_recognition.md","../../../iot/sensors.md","IoT devices","docs\ai\vision\multi_category_object_recognition.md"
"F:\github\knowledge-base\docs\ai\vision\multi_category_object_recognition.md","multi_category_object_recognition.md","../../../mobile/vision_apps.md","Mobile applications","docs\ai\vision\multi_category_object_recognition.md"
"F:\github\knowledge-base\docs\app\README.md","README.md","../README.md","Knowledge Base Documentation","docs\app\README.md"
"F:\github\knowledge-base\docs\cad_manufacturing\freecad_automation.md","freecad_automation.md","fea_analysis.md","FEA Analysis","docs\cad_manufacturing\freecad_automation.md"
"F:\github\knowledge-base\docs\cad_manufacturing\materials_database.md","materials_database.md","fea_analysis.md","FEA Analysis","docs\cad_manufacturing\materials_database.md"
"F:\github\knowledge-base\docs\cad_manufacturing\materials_database.md","materials_database.md","../manufacturing/3d_printing_export.md","Manufacturing Export","docs\cad_manufacturing\materials_database.md"
"F:\github\knowledge-base\docs\cad_manufacturing\physics_simulation.md","physics_simulation.md","fea_analysis.md","FEA Analysis","docs\cad_manufacturing\physics_simulation.md"
"F:\github\knowledge-base\docs\cad_manufacturing\physics_simulation.md","physics_simulation.md","../manufacturing/3d_printing_export.md","Manufacturing Integration","docs\cad_manufacturing\physics_simulation.md"
"F:\github\knowledge-base\docs\cad_manufacturing\README.md","README.md","openscad_automation.md","OpenSCAD Parametric Design","docs\cad_manufacturing\README.md"
"F:\github\knowledge-base\docs\cad_manufacturing\README.md","README.md","3d_model_generation.md","3D Model Generation","docs\cad_manufacturing\README.md"
"F:\github\knowledge-base\docs\cad_manufacturing\README.md","README.md","fea_analysis.md","Finite Element Analysis (FEA)","docs\cad_manufacturing\README.md"
"F:\github\knowledge-base\docs\cad_manufacturing\README.md","README.md","genetic_algorithm_optimization.md","Genetic Algorithm Optimization","docs\cad_manufacturing\README.md"
"F:\github\knowledge-base\docs\cad_manufacturing\README.md","README.md","neural_network_predictions.md","Neural Network Predictions","docs\cad_manufacturing\README.md"
"F:\github\knowledge-base\docs\cad_manufacturing\README.md","README.md","gan_design_generation.md","GAN-based Design Generation","docs\cad_manufacturing\README.md"
"F:\github\knowledge-base\docs\cad_manufacturing\README.md","README.md","3d_printing_export.md","3D Printing (STL Export)","docs\cad_manufacturing\README.md"
"F:\github\knowledge-base\docs\cad_manufacturing\README.md","README.md","cnc_machining_export.md","CNC Machining (GCode)","docs\cad_manufacturing\README.md"
"F:\github\knowledge-base\docs\cad_manufacturing\README.md","README.md","iot_manufacturing.md","IoT & Smart Device Control","docs\cad_manufacturing\README.md"
"F:\github\knowledge-base\docs\cad_manufacturing\README.md","README.md","advanced_physics.md","Relativity & High-D Simulations","docs\cad_manufacturing\README.md"
"F:\github\knowledge-base\docs\cad_manufacturing\README.md","README.md","multi_material_design.md","Multi-Material Design","docs\cad_manufacturing\README.md"
"F:\github\knowledge-base\docs\cad_manufacturing\README.md","README.md","generative_design.md","Generative Design","docs\cad_manufacturing\README.md"
"F:\github\knowledge-base\docs\concepts\knowledge_base_naming_and_identity.md","knowledge_base_naming_and_identity.md","../system_design.md","System Design Overview","docs\concepts\knowledge_base_naming_and_identity.md"
"F:\github\knowledge-base\docs\concepts\README.md","README.md","../README.md","Knowledge Base Documentation","docs\concepts\README.md"
"F:\github\knowledge-base\docs\deployment\README.md","README.md","./platforms/README.md","Platform-Specific Deployment","docs\deployment\README.md"
"F:\github\knowledge-base\docs\deployment\README.md","README.md","./ci_cd/README.md","CI/CD Pipelines","docs\deployment\README.md"
"F:\github\knowledge-base\docs\deployment\README.md","README.md","./iac/README.md","Infrastructure as Code","docs\deployment\README.md"
"F:\github\knowledge-base\docs\deployment\README.md","README.md","./mlops/README.md","AI/ML Ops","docs\deployment\README.md"
"F:\github\knowledge-base\docs\deployment\README.md","README.md","./security/README.md","Security","docs\deployment\README.md"
"F:\github\knowledge-base\docs\deployment\README.md","README.md","./environment.md","Environment Configuration","docs\deployment\README.md"
"F:\github\knowledge-base\docs\deployment\README.md","README.md","./troubleshooting.md","Troubleshooting Guide","docs\deployment\README.md"
"F:\github\knowledge-base\docs\deployment\README.md","README.md","../CONTRIBUTING.md","CONTRIBUTING.md","docs\deployment\README.md"
"F:\github\knowledge-base\docs\deployment\README.md","README.md","../LICENSE","LICENSE","docs\deployment\README.md"
"F:\github\knowledge-base\docs\desktop\README.md","README.md","../README.md","Knowledge Base Documentation","docs\desktop\README.md"
"F:\github\knowledge-base\docs\machine_learning\multimodal\unified_recognition_guide.md","unified_recognition_guide.md","../vision_recognition/vision_recognition_guide.md","Vision Recognition Guide","docs\machine_learning\multimodal\unified_recognition_guide.md"
"F:\github\knowledge-base\docs\machine_learning\multimodal\unified_recognition_guide.md","unified_recognition_guide.md","../training/training_guide.md","Custom Model Training","docs\machine_learning\multimodal\unified_recognition_guide.md"
"F:\github\knowledge-base\docs\machine_learning\workflow\evaluate_performance.md","evaluate_performance.md","deployment.md","Deployment","docs\machine_learning\workflow\evaluate_performance.md"
"F:\github\knowledge-base\docs\machine_learning\workflow\hyperparameter_tuning.md","hyperparameter_tuning.md","deployment.md","Deployment","docs\machine_learning\workflow\hyperparameter_tuning.md"
"F:\github\knowledge-base\docs\robotics\README.md","README.md","perception/README.md","Perception Systems","docs\robotics\README.md"
"F:\github\knowledge-base\docs\robotics\README.md","README.md","movement/README.md","Movement and Mobility","docs\robotics\README.md"
"F:\github\knowledge-base\docs\robotics\README.md","README.md","ai/README.md","AI and Machine Learning","docs\robotics\README.md"
"F:\github\knowledge-base\docs\robotics\README.md","README.md","safety_ethics.md","Safety and Ethics","docs\robotics\README.md"
"F:\github\knowledge-base\docs\robotics\README.md","README.md","integration.md","Integration and APIs","docs\robotics\README.md"
"F:\github\knowledge-base\docs\robotics\README.md","README.md","development.md","Development and Testing","docs\robotics\README.md"
"F:\github\knowledge-base\docs\robotics\README.md","README.md","development.md","development guide","docs\robotics\README.md"
"F:\github\knowledge-base\docs\robotics\README.md","README.md","specs/","Component Specifications","docs\robotics\README.md"
"F:\github\knowledge-base\docs\robotics\README.md","README.md","api/","API Reference","docs\robotics\README.md"
"F:\github\knowledge-base\docs\robotics\README.md","README.md","troubleshooting.md","Troubleshooting Guide","docs\robotics\README.md"
"F:\github\knowledge-base\docs\robotics\README.md","README.md","faq.md","FAQ","docs\robotics\README.md"
"F:\github\knowledge-base\docs\robotics\README.md","README.md","CONTRIBUTING.md","contribution guidelines","docs\robotics\README.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\advanced_abilities.md","advanced_abilities.md","../ai_system_enhancements.md","AI System Enhancements","docs\robotics\advanced_system\advanced_abilities.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\architecture.md","architecture.md","../development.md","development environment","docs\robotics\advanced_system\architecture.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\architecture.md","architecture.md","../examples/README.md","sample applications","docs\robotics\advanced_system\architecture.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\cad_and_manufacturing.md","cad_and_manufacturing.md","../ai_system_enhancements.md","AI System Enhancements","docs\robotics\advanced_system\cad_and_manufacturing.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\human_robot_interaction.md","human_robot_interaction.md","./testing/README.md","Testing & Validation","docs\robotics\advanced_system\human_robot_interaction.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\multisensory_robotics.md","multisensory_robotics.md","../../hardware/sensors.md","Sensor Integration","docs\robotics\advanced_system\multisensory_robotics.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\multisensory_robotics.md","multisensory_robotics.md","../../ai/guides/robotics_ai_algorithms.md","AI Algorithms","docs\robotics\advanced_system\multisensory_robotics.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\multisensory_robotics.md","multisensory_robotics.md","../../ai/guides/robotics_movement.md","Movement Algorithms","docs\robotics\advanced_system\multisensory_robotics.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\multisensory_robotics.md","multisensory_robotics.md","../../ai/audio/README.md","Speech & Audio","docs\robotics\advanced_system\multisensory_robotics.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\README.md","README.md","networking/README.md","Networking & Security","docs\robotics\advanced_system\README.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\README.md","README.md","ai/README.md","AI & Machine Learning","docs\robotics\advanced_system\README.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\README.md","README.md","safety_ethics/README.md","Safety & Ethics","docs\robotics\advanced_system\README.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\README.md","README.md","deployment/README.md","Deployment & Maintenance","docs\robotics\advanced_system\README.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\README.md","README.md","deployment/README.md","deployment guide","docs\robotics\advanced_system\README.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\README.md","README.md","TROUBLESHOOTING.md","troubleshooting","docs\robotics\advanced_system\README.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\sanskrit_style_reorganization.md","sanskrit_style_reorganization.md","./advanced_system.md","Advanced System Documentation","docs\robotics\advanced_system\sanskrit_style_reorganization.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\self_powering_and_regeneration.md","self_powering_and_regeneration.md","../ai_system_enhancements.md","AI System Enhancements","docs\robotics\advanced_system\self_powering_and_regeneration.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\speculative_abilities.md","speculative_abilities.md","../../../../ai/multidisciplinary/philosophy.md","Ethics & Social Impact","docs\robotics\advanced_system\speculative_abilities.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\speculative_abilities.md","speculative_abilities.md","./testing/README.md","Testing & Validation","docs\robotics\advanced_system\speculative_abilities.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\swarm_robotics.md","swarm_robotics.md","./testing/README.md","Testing & Validation","docs\robotics\advanced_system\swarm_robotics.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\theoretical_abilities.md","theoretical_abilities.md","../ai_system_enhancements.md","AI System Enhancements","docs\robotics\advanced_system\theoretical_abilities.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\ui_ux.md","ui_ux.md","../human_robot_interaction.md","Human-Robot Interaction","docs\robotics\advanced_system\ui_ux.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\ui_ux.md","ui_ux.md","../control/README.md","Control Systems","docs\robotics\advanced_system\ui_ux.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\ui_ux.md","ui_ux.md","../testing.md","Testing & Validation","docs\robotics\advanced_system\ui_ux.md"
"F:\github\knowledge-base\docs\robotics\advanced_system\control\README.md","README.md","../testing/README.md","Testing & Validation","docs\robotics\advanced_system\control\README.md"
"F:\github\knowledge-base\docs\web\apis\rest_api.md","rest_api.md","../security/authentication.md","../security/authentication.md","docs\web\apis\rest_api.md"
"F:\github\knowledge-base\docs\web\apis\rest_api.md","rest_api.md","api_gateway.md","API Gateways","docs\web\apis\rest_api.md"
"F:\github\knowledge-base\docs\web\apis\rest_api.md","rest_api.md","../security/authentication.md","Authentication","docs\web\apis\rest_api.md"
"F:\github\knowledge-base\docs\web\databases\database_overview.md","database_overview.md","../performance/denormalization.md","../performance/denormalization.md","docs\web\databases\database_overview.md"
"F:\github\knowledge-base\docs\web\networking\dns.md","dns.md","proxy.md","Proxy","docs\web\networking\dns.md"
"F:\github\knowledge-base\docs\web\networking\http.md","http.md","proxy.md","Proxy","docs\web\networking\http.md"
"F:\github\knowledge-base\docs\web\networking\ip_address.md","ip_address.md","proxy.md","Proxy","docs\web\networking\ip_address.md"
"F:\github\knowledge-base\docs\web\system_design\blob_storage.md","blob_storage.md","../security/security.md","Security","docs\web\system_design\blob_storage.md"
"F:\github\knowledge-base\docs\web\system_design\cache.md","cache.md","../performance/denormalization.md","Performance Optimization","docs\web\system_design\cache.md"
"F:\github\knowledge-base\docs\web\system_design\cache.md","cache.md","../security/security.md","Security","docs\web\system_design\cache.md"
"F:\github\knowledge-base\docs\web\system_design\cdn.md","cdn.md","../performance/denormalization.md","Performance Optimization","docs\web\system_design\cdn.md"
"F:\github\knowledge-base\docs\web\system_design\cdn.md","cdn.md","../security/security.md","Security","docs\web\system_design\cdn.md"
"F:\github\knowledge-base\docs\web\system_design\rate_limiting.md","rate_limiting.md","../security/security.md","Security","docs\web\system_design\rate_limiting.md"
"F:\github\knowledge-base\examples\emotional_intelligence\README.md","README.md","../docs/ai/emotional_intelligence/ARCHITECTURE.md","Emotional Intelligence Architecture","examples\emotional_intelligence\README.md"
"F:\github\knowledge-base\examples\emotional_intelligence\README.md","README.md","../docs/ai/emotional_intelligence/EMOTION_REGULATION.md","Emotion Regulation","examples\emotional_intelligence\README.md"
"F:\github\knowledge-base\examples\emotional_intelligence\README.md","README.md","../docs/ai/emotional_intelligence/EMPATHY_AND_SOCIAL_AWARENESS.md","Empathy and Social Awareness","examples\emotional_intelligence\README.md"
"F:\github\knowledge-base\maintenance\scheduled_reviews.md","scheduled_reviews.md","../templates/review_template.md","Content Review Form","maintenance\scheduled_reviews.md"
"F:\github\knowledge-base\maintenance\scheduled_reviews.md","scheduled_reviews.md","../anthropic/templates/constitutional_assessment_template.md","Constitutional Assessment Matrix","maintenance\scheduled_reviews.md"
"F:\github\knowledge-base\maintenance\scheduled_reviews.md","scheduled_reviews.md","../templates/technical_review_template.md","Technical Accuracy Checklist","maintenance\scheduled_reviews.md"
"F:\github\knowledge-base\mcp\integration_guide.md","integration_guide.md","../scripts/vector_db_setup.md","Vector Database Setup","mcp\integration_guide.md"
"F:\github\knowledge-base\mcp\integration_guide.md","integration_guide.md","api/knowledge_api.md","Knowledge API Documentation","mcp\integration_guide.md"
"F:\github\knowledge-base\mcp\config\README.md","README.md","../api/README.md","API Documentation","mcp\config\README.md"
"F:\github\knowledge-base\mcp\config\README.md","README.md","../vectorization/README.md","Vectorization Protocols","mcp\config\README.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","../docs/workflow/preprocessing.md","Data Preprocessing","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","../docs/workflow/hyperparameter_tuning.md#optimization-techniques","hyperparameter optimization techniques","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","../docs/concepts/transfer_learning.md","transfer learning","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","../docs/workflow/evaluate_performance.md","Model Evaluation","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","../docs/workflow/deployment.md","Deployment Strategies","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","../other_directory/document.md","Document","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","/path/from/root/other_directory/document.md","Document","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","preprocessing.md","Data Preprocessing","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","evaluate_performance.md","Model Evaluation","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","hyperparameter_tuning.md","Hyperparameter Tuning","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","path/to/document.md","Document Name","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","preprocessing.md","preprocessed data","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","model_selection.md","model selection criteria","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","../concepts/transfer_learning.md","transfer learning","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","../concepts/regularization.md#early-stopping","early stopping","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","evaluate_performance.md","model evaluation","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","hyperparameter_tuning.md","tune hyperparameters","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","preprocessing.md","Data Preprocessing","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","evaluate_performance.md","Model Evaluation","meta\linking_standards.md"
"F:\github\knowledge-base\meta\linking_standards.md","linking_standards.md","hyperparameter_tuning.md","Hyperparameter Tuning","meta\linking_standards.md"
"F:\github\knowledge-base\process\contribution_guide.md","contribution_guide.md","URL","Link Text","process\contribution_guide.md"
"F:\github\knowledge-base\src\audio\README.md","README.md","LICENSE","LICENSE","src\audio\README.md"
"F:\github\knowledge-base\templates\document_template.md","document_template.md","path/to/document.md","Internal Reference 1","templates\document_template.md"
"F:\github\knowledge-base\templates\document_template.md","document_template.md","path/to/document.md","Internal Reference 2","templates\document_template.md"
"F:\github\knowledge-base\templates\model_template.md","model_template.md","path/to/related_model.md","Related Model","templates\model_template.md"
"F:\github\knowledge-base\templates\workflow_template.md","workflow_template.md","previous_step.md","Previous Step","templates\workflow_template.md"
"F:\github\knowledge-base\templates\workflow_template.md","workflow_template.md","next_step.md","Next Step","templates\workflow_template.md"
"F:\github\knowledge-base\templates\workflow_template.md","workflow_template.md","path/to/document.md","Related Internal Document","templates\workflow_template.md"
"F:\github\knowledge-base\templates\workflow_template.md","workflow_template.md","path/to/concept.md","ML Concept","templates\workflow_template.md"
